date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:26	36831/36831	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Apr%202022%2010:02:20%20GMT	https://templates.hibootstrap.com/colugo/default/index.html	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/index.html	(from )
10:23:27	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Nov%202022%2003:23:27%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
10:23:28	163827/163827	---MCZ	200	added ('OK')	text/css	etag:W/%226265202f-27ff3%22	https://templates.hibootstrap.com/colugo/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:29	4206/4206	---MCZ	200	added ('OK')	text/css	etag:W/%2262652030-106e%22	https://templates.hibootstrap.com/colugo/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:29	71756/71756	---MCZ	200	added ('OK')	text/css	etag:W/%226265202f-1184c%22	https://templates.hibootstrap.com/colugo/default/assets/css/animate.min.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/animate.min.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:30	3249/3249	---MCZ	200	added ('OK')	text/css	etag:W/%2262652030-e42%22	https://templates.hibootstrap.com/colugo/default/assets/css/odometer.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/odometer.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:31	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%2262652030-148b%22	https://templates.hibootstrap.com/colugo/default/assets/css/magnific-popup.min.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/magnific-popup.min.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:31	100788/100788	---MCZ	200	added ('OK')	text/css	etag:W/%2262652030-189b4%22	https://templates.hibootstrap.com/colugo/default/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/fontawesome.min.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:32	6594/6594	---MCZ	200	added ('OK')	text/css	etag:W/%226265202f-2049%22	https://templates.hibootstrap.com/colugo/default/assets/css/dark.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/dark.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:32	1814/1814	---MCZ	200	added ('OK')	text/css	etag:W/%2262652031-716%22	https://templates.hibootstrap.com/colugo/default/assets/css/slick.min.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/slick.min.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:32	58589/58589	---MCZ	200	added ('OK')	text/css	etag:W/%2262652031-136e1%22	https://templates.hibootstrap.com/colugo/default/assets/css/style.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/style.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:33	6318/6318	---MCZ	200	added ('OK')	text/css	etag:W/%2262652030-2291%22	https://templates.hibootstrap.com/colugo/default/assets/css/responsive.css	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:33	3063/3063	---M--	200	added ('OK')	image/png	etag:%2262652033-1167%22	https://templates.hibootstrap.com/colugo/default/assets/img/favicon.png	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/img/favicon.png	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:34	4118/4118	---M--	200	added ('OK')	image/png	etag:%226265204e-2220%22	https://templates.hibootstrap.com/colugo/default/assets/img/store/2.png	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/img/store/2.png	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:34	4764/4764	---M--	200	added ('OK')	image/png	etag:%226265204e-23f4%22	https://templates.hibootstrap.com/colugo/default/assets/img/store/1.png	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/img/store/1.png	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:34	11263/11263	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Apr%202022%2010:02:20%20GMT	https://templates.hibootstrap.com/colugo/default/blog.html	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/blog.html	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:34	734/734	---M--	200	added ('OK')	image/png	etag:%226265204c-5c7%22	https://templates.hibootstrap.com/colugo/default/assets/img/shape/2.png	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/img/shape/2.png	(from https://templates.hibootstrap.com/colugo/default/index.html)
10:23:35	382/382	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226265204c-17e%22	https://templates.hibootstrap.com/colugo/default/assets/img/shape/4.svg	C:/My%20Web%20Sites/ppdb/templates.hibootstrap.com/colugo/default/assets/img/shape/4.svg	(from https://templates.hibootstrap.com/colugo/default/index.html)
