date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:03	875339/875339	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2007:46:03%20GMT	https://preview.keenthemes.com/metronic8/demo1/index.html?_ga=2.186422185.1290322083.1662881984-593286604.1662171237	C:/My%20Web%20Sites/Rudianjayy/preview.keenthemes.com/metronic8/demo1/index28a6.html	(from )
14:46:05	36/36	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Sep%202022%2007:46:06%20GMT	https://preview.keenthemes.com/robots.txt		(from )
14:46:06	18278/18278	---M--	200	added ('OK')	image/x-icon	etag:%22631ace83-4766%22	https://preview.keenthemes.com/metronic8/demo1/assets/media/logos/favicon.ico	C:/My%20Web%20Sites/Rudianjayy/preview.keenthemes.com/metronic8/demo1/assets/media/logos/favicon.ico	(from https://preview.keenthemes.com/metronic8/demo1/index.html?_ga=2.186422185.1290322083.1662881984-593286604.1662171237)
14:46:07	29777/29777	---MCZ	200	added ('OK')	text/css	etag:W/%22631ad385-7451%22	https://preview.keenthemes.com/metronic8/demo1/assets/plugins/custom/fullcalendar/fullcalendar.bundle.css	C:/My%20Web%20Sites/Rudianjayy/preview.keenthemes.com/metronic8/demo1/assets/plugins/custom/fullcalendar/fullcalendar.bundle.css	(from https://preview.keenthemes.com/metronic8/demo1/index.html?_ga=2.186422185.1290322083.1662881984-593286604.1662171237)
14:46:07	38812/38812	---MCZ	200	added ('OK')	text/css	etag:W/%22631ad3ae-979c%22	https://preview.keenthemes.com/metronic8/demo1/assets/plugins/custom/datatables/datatables.bundle.css	C:/My%20Web%20Sites/Rudianjayy/preview.keenthemes.com/metronic8/demo1/assets/plugins/custom/datatables/datatables.bundle.css	(from https://preview.keenthemes.com/metronic8/demo1/index.html?_ga=2.186422185.1290322083.1662881984-593286604.1662171237)
14:46:09	600216/600216	---MCZ	200	added ('OK')	text/css	etag:W/%22631ad3b3-92898%22	https://preview.keenthemes.com/metronic8/demo1/assets/plugins/global/plugins.bundle.css	C:/My%20Web%20Sites/Rudianjayy/preview.keenthemes.com/metronic8/demo1/assets/plugins/global/plugins.bundle.css	(from https://preview.keenthemes.com/metronic8/demo1/index.html?_ga=2.186422185.1290322083.1662881984-593286604.1662171237)
14:46:12	1525990/1525990	---MCZ	200	added ('OK')	text/css	etag:W/%22631ad3ae-1748e6%22	https://preview.keenthemes.com/metronic8/demo1/assets/css/style.bundle.css	C:/My%20Web%20Sites/Rudianjayy/preview.keenthemes.com/metronic8/demo1/assets/css/style.bundle.css	(from https://preview.keenthemes.com/metronic8/demo1/index.html?_ga=2.186422185.1290322083.1662881984-593286604.1662171237)
14:46:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2011%20Sep%202022%2007:46:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Rudianjayy/www.googletagmanager.com/gtm.65445.delayed	(from https://preview.keenthemes.com/metronic8/demo1/index.html?_ga=2.186422185.1290322083.1662881984-593286604.1662171237)
14:46:19	875335/875335	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2007:46:16%20GMT	https://preview.keenthemes.com/metronic8/demo1/index.html	C:/My%20Web%20Sites/Rudianjayy/preview.keenthemes.com/metronic8/demo1/index.html	(from https://preview.keenthemes.com/metronic8/demo1/index.html?_ga=2.186422185.1290322083.1662881984-593286604.1662171237)
14:46:19	996/996	---M--	200	added ('OK')	image/svg+xml	etag:%22631ace83-3e4%22	https://preview.keenthemes.com/metronic8/demo1/assets/media/logos/default-small.svg	C:/My%20Web%20Sites/Rudianjayy/preview.keenthemes.com/metronic8/demo1/assets/media/logos/default-small.svg	(from https://preview.keenthemes.com/metronic8/demo1/index.html?_ga=2.186422185.1290322083.1662881984-593286604.1662171237)
